Acronym,Level of User,Measure of:,Name,Item,Item Name,Edition Number,Ages,Number of Items,Location,Ordering Company,IsArchived
FRT,,Social and Family,Family Relations Test,Manual,,,,3,Second Floor,GL Assessment,0
FRT,,Social and Family,Family Relations Test,Manual,Manual for the adult version ,,,1,Second Floor,GL Assessment,0
FRT,,Social and Family,Family Relations Test,Form,Record Sheet for Adults,,,3,Second Floor,GL Assessment,0
FRT,,Social and Family,Family Relations Test,Form,Scoring Sheet for Adults,,,4,Second Floor,GL Assessment,0
FRT,,Social and Family,Family Relations Test,Form,Record Sheet for Older Children,,,Around 25,Second Floor,GL Assessment,0
FRT,,Social and Family,Family Relations Test,Form,Scoring Sheet for Older Children,,,Around 30,Second Floor,GL Assessment,0
FRT,,Social and Family,Family Relations Test,Form,Scoring Sheet for Young Children,,,Around 30,Second Floor,GL Assessment,0
GAD-7,,Mood/Anxiety,Generalized Anxiety Disorder 7-item,Form,,,,,Online Platform,Available on Teams,0
GORT-4,B,,Gray Oral Reading Tests,Manual,,4,,1,Second Floor,WPS - 5th ed available,0
GORT-4,B,,Gray Oral Reading Tests,Book,Student Book,4,,1,Second Floor,WPS - 5th ed available,0
GORT-4,B,,Gray Oral Reading Tests,Form,"Record Booklet
Form A",4,,15,Second Floor,WPS - 5th ed available,0
GORT-4,B,,Gray Oral Reading Tests,Form,"Record Booklet
Form B",4,,20,Second Floor,WPS - 5th ed available,0
JI-R,B,,Jesness Inventory-Revised,Manual,Technical Manual,,,1,Second Floor,MHS,0
JI-R,B,,Jesness Inventory-Revised,Book,Scoring Templates,,,1,Second Floor,MHS,0
JI-R,B,,Jesness Inventory-Revised,Form,Item Booklet,,,10,Second Floor,MHS,0
JI-R,B,,Jesness Inventory-Revised,Form,Response Sheet,,,25,Second Floor,MHS,0
JVIS,A,Vocational,Jackson Vocational Interest Survey,Manual,,,,"3
(1 is 2nd ed manual)",Second Floor,SIGMA,0
JVIS,A,Vocational,Jackson Vocational Interest Survey,Book,Applications Handbook,,,1,Second Floor,SIGMA,0
JVIS,A,Vocational,Jackson Vocational Interest Survey,Form,Record Form,,,Around 30,Second Floor,SIGMA,0
JVIS,A,Vocational,Jackson Vocational Interest Survey,Book,Questionnaire Booklet,,,27,Second Floor,SIGMA,0
JVIS,A,Vocational,Jackson Vocational Interest Survey,Book,"JVIS Basic Interest Descriptions
(sheets)",,,16,Second Floor,SIGMA,0
KADI,C,Autism,Krug Asperger's Disorder Index,Manual,Examiner's Manual,,,1,Second Floor,WPS,0
KADI,C,Autism,Krug Asperger's Disorder Index,Form,"Profile/Examiner Record Form
Elementary",,6 to 11,Around 50,Second Floor,WPS,0
KADI,C,Autism,Krug Asperger's Disorder Index,Form,"Profile/Examiner Record Form
Secondary",,12 to 21,Around 50,Second Floor,WPS,0
KTEA-3,B,Academic Achievement ,Kaufman Test of Educational Achievement,USB Stick,,3,,1,Ask Clinic Admin,Pearson,0
KTEA-3,B,Academic Achievement ,Kaufman Test of Educational Achievement,Kit,,3,,"1 
(Labelled as Kit B)",Second Floor,Pearson,0
KTEA-3,B,Academic Achievement ,Kaufman Test of Educational Achievement,Form,"Record Form
Form B",3,,Around 25,Second Floor,Pearson,0
KTEA-3,B,Academic Achievement ,Kaufman Test of Educational Achievement,Form,"Response Booklet
Form B",3,,Around 25,Second Floor,Pearson,0
LASSI-HS,,Academic Achievement ,Learning and Study Strategies Inventory-High School,Form,Record Form,,,3,Second Floor,H&H Publishing,0
MASC 2,B,Mood/Anxiety,Multidimensional Anxiety Scale for Children,Manual,Technical Manual,2,,2,Second Floor,MHS,0
MASC 2,B,Mood/Anxiety,Multidimensional Anxiety Scale for Children,Form,Self-Report Form,2,,Around 20,Second Floor,MHS,0
MASC 2,B,Mood/Anxiety,Multidimensional Anxiety Scale for Children,Form,Parent Form,2,,Around 50,Second Floor,MHS,0
M-Fast,S,Malingering,Miller Forensic Assessment of Symptoms Test,Manual,Professional Manual,,,1,Second Floor,PAR,0
M-Fast,S,Malingering,Miller Forensic Assessment of Symptoms Test,Form,Interview Booklet,,,Around 25,Second Floor,PAR,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,CD,"Interpretive System
Version 3.11",,,1,Second Floor,PAR - version 5 available,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,CD,"Interpretive System
Version 5.00",,,1,Second Floor,PAR,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,Manual,"Manual for Administration, Scoring, and Interpretation",,,1,Second Floor,Pearson,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,Book,Hardcover Test Booklet,,,1,Second Floor,Pearson,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,Book,Softcover Test Booklet,,,18,Second Floor,Pearson,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,Form,Answer Sheet for Hardcover,,,1,Second Floor,Pearson,0
MMPI-A,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent,Scoring,,,,,Computer-184 Side,,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Manual,"Administration, Scoring, Interpretation, and Technical Manual",,,1,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Form,Profile for Validity Scales,,,Around 25,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Form,Profile for Higher-Order (H-O) and Restructured Clinical (RC) Scales,,,Around 25,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Form,Profile for Somatic/Cognitive and Internalizing Scales,,,Around 25,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Form,Profile for Externalizing and Interpersonal Scales,,,Around 25,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Form,Profile for Personality Psychopathology Five (PSY-5) Scales,,,Around 25,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Form,Hand-Scoring Answer Sheet,,,Around 25,Second Floor,Pearson,0
MMPI-A-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Adolescent-Restructured Form,Book,Durable Spiral-Bound Test Booklet,,,1,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,CD,Adult Interpretive System Version 3,2,,1,Second Floor,PAR - version 4 available,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Manual,Professional Manual,2,,1,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Manual,User's Guide,2,,1,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Manual,Manual for administration and scoring,2,,3,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Book,Softcover Test Booklet,2,,2,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Form,"Profile for Supplementary 
Scales",2,,Around 25,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Form,"Profile for Basic 
Scales",2,,Over 75,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Form,Profile for Content Scales,2,,Over 75,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Form,"Softcover Answer Sheet
Handscoring",2,,5,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Form,TRIN Scale Recording Grid,2,,12,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Form,VRIN Scale Recording Grid,2,,12,Second Floor,Pearson,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Scoring,,2,,,Computer-184 Side,,0
MMPI-2,C,Personality,Minnesota Multiphasic Personality Inventory,Manual,,2,,,Computer-184 Side,,0
MMPI-2-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Restructured Form,Kit,,2,,1,Second Floor,Pearson,0
MMPI-2-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Restructured Form,Manual,Technical Manual,2,,1,Second Floor,Pearson,0
MMPI-2-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Restructured Form,Manual,"Manual for Administration, Scoring, and Interpretation",2,,1,Second Floor,Pearson,0
MMPI-2-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Restructured Form,Manual,User's Guide For Reports,2,,1,Second Floor,Pearson,0
MMPI-2-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Restructured Form,Book,Softcover Test Booklet,2,,1,Second Floor,Pearson,0
MMPI-2-RF,C,Personality,Minnesota Multiphasic Personality Inventory-Restructured Form,Form,Answer Sheet,2,,3,Second Floor,Pearson,0
Movement ABC,B,,Movement Assessment Battery for Children,Form,Checklist,,,Around 50,Second Floor,Pearson - 3rd ed available,0
Movement ABC,B,,Movement Assessment Battery for Children,Form,"Record Form
Age Band 1",,4 to 6,21,Second Floor,Pearson - 3rd ed available,0
Movement ABC,B,,Movement Assessment Battery for Children,Form,"Record Form
Age Band 2",,7 to 8,8,Second Floor,Pearson - 3rd ed available,0
Movement ABC,B,,Movement Assessment Battery for Children,Form,"Record Form
Age Band 3",,9 to 10,9,Second Floor,Pearson - 3rd ed available,0
Movement ABC,B,,Movement Assessment Battery for Children,Form,"Record Form
Age Band 4",,11 to 12,9,Second Floor,Pearson - 3rd ed available,0
MSEI,B,,The Multidimensional Self-Esteem Inventory,Manual,Professional Manual,,,1,Second Floor,PAR,0
MSEI,B,,The Multidimensional Self-Esteem Inventory,Form,Item Booklet,,,Around 20,Second Floor,PAR,0
MSEI,B,,The Multidimensional Self-Esteem Inventory,Form,Rating Sheet,,,11,Second Floor,PAR,0
MSEI,B,,The Multidimensional Self-Esteem Inventory,Form,Profile Form,,,10,Second Floor,PAR,0
MSEL,B,,Mullen Scales of Early Learning AGS Edition,Manual,,,,1,Second Floor,WPS,0
MSEL,B,,Mullen Scales of Early Learning AGS Edition,Book,Stimulus Book,,,1,Second Floor,WPS,0
MSEL,B,,Mullen Scales of Early Learning AGS Edition,Form,Record Form,,,Around 25,Second Floor,WPS,0
NDRT,S,,Nelson-Denny Reading Test,Manual,"Manual for Scoring and Interpretation
Forms G and H",,,1,Second Floor,PAR - NDRT I & J version available,0
NDRT,S,,Nelson-Denny Reading Test,Manual,"Directions for Administration
Forms G and H",,,1,Second Floor,PAR - NDRT I & J version available,0
NDRT,S,,Nelson-Denny Reading Test,Book,"Test Booklet
Form G",,,Around 25,Second Floor,PAR - NDRT I & J version available,0
NDRT,S,,Nelson-Denny Reading Test,Form,"Self-Scorable Answer Sheet
For use with forms G and H only",,,Around 50,Second Floor,PAR - NDRT I & J version available,0
NDRT,S,,Nelson-Denny Reading Test,Form,"Personal Record
Forms G and H",,,Over 25,Second Floor,PAR - NDRT I & J version available,0
NDRT,S,,Nelson-Denny Reading Test,Form,"Class Record Sheet
Forms G and H",,,1,Second Floor,PAR - NDRT I & J version available,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Manual,Professional Manual,,,1,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Form,Hand-Scoring Answer Sheet,,,Over 25,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Form,Item Booklet - Form S,,,5,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Form,"Item Booklet - Form R
(Women)",,,10,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Form,"Item Booklet - Form R
(Men)",,,13,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Form,Form R (Ratings) Profile Form,,,Around 25,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,Form,Form S (Self-Report) Profile Form,,,Around 50,Second Floor,PAR,0
NEO PI-R,S,Personality,NEO Personality Inventory-Revised,,Bibliography for the NEO PI-R and NEO-FFI,,,1,Second Floor,PAR,0
NEPSY-II,C,Neuropsyc,A Developmental NEuroPSYchological Assessment,Kit,,2,,1,Second Floor,Pearson,0
NEPSY-II,C,Neuropsyc,A Developmental NEuroPSYchological Assessment,Form,Record Form,2,3 to 4,Around 25,Second Floor,Pearson,0
NEPSY-II,C,Neuropsyc,A Developmental NEuroPSYchological Assessment,Form,Response Booklet,2,3 to 4,Around 25,Second Floor,Pearson,0
NEPSY-II,C,Neuropsyc,A Developmental NEuroPSYchological Assessment,Form,Response Booklet,2,5 to 16,5,Second Floor,Pearson,0
NINA,,Autism,No It's Not ASD' Checklist,Form,Record Form,,2 to 4,6,Second Floor,,0
NINA,,Autism,No It's Not ASD' Checklist,Form,Record Form,,5 to 8,3,Second Floor,,0
NINA,,Autism,No It's Not ASD' Checklist,Form,Record Form,,9 and up,6,Second Floor,,0
PAI,C,Personality,Personality Assessment Inventory,Manual,Professional Manual,,,2,Second Floor,PAR,0
PAI,C,Personality,Personality Assessment Inventory,Book,Item Booklet,,,7,Second Floor,PAR,0
PAI,C,Personality,Personality Assessment Inventory,Form,Profile Form,,,Over 25,Second Floor,PAR,0
PAI,C,Personality,Personality Assessment Inventory,Form,Critical Items Form,,,Over 50,Second Floor,PAR,0
PAI,C,Personality,Personality Assessment Inventory,Form,Answer Sheet,,,Around 30,Second Floor,PAR,0
PAI-A,C,Personality,Personality Assessment Inventory-Adolescent,Manual,Professional Manual,,,1,Second Floor,PAR,0
PAI-A,C,Personality,Personality Assessment Inventory-Adolescent,Book,Item Booklet,,,2,Second Floor,PAR,0
PAI-A,C,Personality,Personality Assessment Inventory-Adolescent,Form,Profile Form,,,10,Second Floor,PAR,0
PAI-A,C,Personality,Personality Assessment Inventory-Adolescent,Form,Critical Items Form,,,Around 25,Second Floor,PAR,0
PAI-A,C,Personality,Personality Assessment Inventory-Adolescent,Form,Answer Sheet,,,12,Second Floor,PAR,0
PAI-A,C,Personality,Personality Assessment Inventory-Adolescent,Scoring,Interpretive Report,,,5,Online Platform,PAR Login,0
PAI Plus,C,Personality,Personality Assessment Inventory,Scoring,PAI/PAI Plus Clinical Interpretive Report,,,5,Online Platform,PAR Login,0
PAL-II,B,,Process Assessment of the Learner,Form,Response Booklet for Reading and Writing,2,,Around 25,Second Floor,Pearson,0
PAL-II,B,,Process Assessment of the Learner,Form,Record Form for Reading and Writing,2,,Around 25,Second Floor,Pearson,0
PAL-II,B,,Process Assessment of the Learner,Form,Response Booklet for Math,2,,8,Second Floor,Pearson,0
PAL-II,B,,Process Assessment of the Learner,Form,Record Form for Math,2,,7,Second Floor,Pearson,0
PCL-5,,Trauma,PTSD Checklist for DSM-5,Form,,,,,Online Platform,Available on Teams,0
PHQ-9,,Mood/Anxiety,Patient Health Questionnaire,Form,,,,,Online Platform,Available on Teams,0
PIAT-R,,,Peabody Individual Achievement Test-Revised,Form,Combined Test Record & Written Expression Response Booklet,,,Over 50,Second Floor,"Publisher - Pearson
Not available on website",0
Piers-Harris 2,C,,Piers-Harris Self-Concept Scale,Manual,,2,,1,Second Floor,WPS - 3rd ed available,0
Piers-Harris 2,C,,Piers-Harris Self-Concept Scale,Install Disk,2-Use Intro Disk,2,,1,Second Floor,WPS - 3rd ed available,0
Piers-Harris 2,C,,Piers-Harris Self-Concept Scale,Form,Profile Sheet,2,,Around 25,Second Floor,WPS - 3rd ed available,0
Piers-Harris 2,C,,Piers-Harris Self-Concept Scale,Form,PC Answer Sheet,2,,1,Second Floor,WPS - 3rd ed available,0
PLS-4,B,Language,Preschool Language Scale,Form,Record Form,4,,Around 25,Second Floor,Pearson - 5th ed available,0
PPVT-5,B,Language,Peabody Picture Vocabulary Test ,Kit,"Kit Contents:
-Manual and question book
-Form A",5,,1,Second Floor,Pearson,0
PPVT-5,B,Language,Peabody Picture Vocabulary Test ,Form,"Record Form
Form A",5,,12,Second Floor,Pearson,0
PSI-4,S,,Parenting Stress Index,Manual,Professional Manual,4,,1,Second Floor,PAR,0
PSI-4,S,,Parenting Stress Index,Form,Item Booklet,4,,5,Second Floor,PAR,0
PSI-4,S,,Parenting Stress Index,Form,Answer Sheet,4,,12,Second Floor,PAR,0
PSI-4,S,,Parenting Stress Index,Form,Profile Form,4,,Around 20,Second Floor,PAR,0
RADS-2,S,Mood/Anxiety,Reynolds Adolescent Depression Scale,Manual,Professional Manual,2,,1,Second Floor,PAR,0
RADS-2,S,Mood/Anxiety,Reynolds Adolescent Depression Scale,Form,Test Booklet,2,,6,Second Floor,PAR,0
RADS-2,S,Mood/Anxiety,Reynolds Adolescent Depression Scale,Form,Summary/Profile Form,2,,9,Second Floor,PAR,0
RCFT,C,,Rey Complex Figure Test and Recognition Trial,Manual,Professional Manual,,,1,Second Floor,PAR,0
RCFT,C,,Rey Complex Figure Test and Recognition Trial,Manual,Supplemental Norms for Children and Adolescents,,,1,Second Floor,PAR,0
RCFT,C,,Rey Complex Figure Test and Recognition Trial,Form,Test Booklet,,,Around 25,Second Floor,PAR,0
RCFT,C,,Rey Complex Figure Test and Recognition Trial,,Folder with testing sheets/materials,,,1,Second Floor,PAR,0
RDLS,,Language,Reynell Developmental Language Scales,Form,Record Form,2,,Around 20,Second Floor,Publisher - NFER-Nelson,0
Roberts-2,C,,Roberts Apperception Test for Children,Form,Record Form/Scoring Profile,2,,Around 20,Second Floor,WPS,0
RSCA,B,Coping/Resiliency,Resiliency Scales for Children & Adolescents,Manual,,,,1,Second Floor,Pearson,0
RSCA,B,Coping/Resiliency,Resiliency Scales for Children & Adolescents,Form,Combination Booklet,,,Around 20,Second Floor,Pearson,0
SB-5,C,Intellectual Functioning,Stanford-Binet Intelligence Scales,Kit,,5,,1,Second Floor,PAR,0
SB-5,C,Intellectual Functioning,Stanford-Binet Intelligence Scales,Form,Record Form,5,,Around 25,Second Floor,PAR,0
SCQ,C,Autism,Social Communication Questionnaire,Manual,,,,1,Second Floor,WPS,0
SCQ,C,Autism,Social Communication Questionnaire,Form,"AutoScore Form
Lifetime",,,14,Second Floor,WPS,0
SCQ,C,Autism,Social Communication Questionnaire,Form,"AutoScore Form
Current",,,14,Second Floor,WPS,0
SIB-R,B,,Scales of Independent Behavior-Revised,Manual,Comprehensive Manual,,,1,Second Floor,Nelson,0
SIB-R,B,,Scales of Independent Behavior-Revised,Book,Interview Book,,,1,Second Floor,Nelson,0
SIB-R,B,,Scales of Independent Behavior-Revised,Form,"Response Booklet
Early Development 
Form",,,2,Second Floor,Nelson,0
SIB-R,B,,Scales of Independent Behavior-Revised,Form,"Individual Plan Recommendations
Early Development 
Form",,,5,Second Floor,Nelson,0
SIB-R,B,,Scales of Independent Behavior-Revised,Form,"Response Booklet
Short Form",,,3,Second Floor,Nelson,0
SIB-R,B,,Scales of Independent Behavior-Revised,Form,"Individual Plan Recommendations
Short Form",,,5,Second Floor,Nelson,0
SIB-R,B,,Scales of Independent Behavior-Revised,Form,"Response Booklet
Full Scale",,,2,Second Floor,Nelson,0
SIPA,B,,Stress Index for Parents of Adolescents,Manual,Professional Manual,,,1,Second Floor,PAR,0
SIPA,B,,Stress Index for Parents of Adolescents,Form,Item Booklet,,,Around 30,Second Floor,PAR,0
SIPA,B,,Stress Index for Parents of Adolescents,Form,Answer Sheet,,,Around 25,Second Floor,PAR,0
SIQ,S,Mood/Anxiety,Suicidal Ideation Questionnaire,Manual,Preliminary Manual,,,1,Second Floor,PAR,0
SIQ,S,Mood/Anxiety,Suicidal Ideation Questionnaire,Form,Record Form,,,Around 25,Second Floor,PAR,0
SIQ-JR,S,Mood/Anxiety,Suicidal Ideation Questionnaire Grades 7-9,Form,Record Form,,,Around 25,Second Floor,PAR,0
SRS-2,B,Autism,Social Responsiveness Scale,Manual,,2,,1,Second Floor,PAR,0
SRS-2,B,Autism,Social Responsiveness Scale,Form,"Profile Sheet
School-Age
(Package with male, female, and AutoScore forms)",2,,Around 30,Second Floor,PAR,0
SRS-2,B,Autism,Social Responsiveness Scale,Form,"Profile Sheet
Adult (Self-Report)",2,,Around 20,Second Floor,PAR,0
SRS-2,B,Autism,Social Responsiveness Scale,Form,"Profile Sheet
Preschool",2,,Around 20,Second Floor,PAR,0
SRS-2,B,Autism,Social Responsiveness Scale,Form,"Profile Sheet
Adult (Relative/Other Report)",2,,Around 20,Second Floor,PAR,0
SRS-2,C,Autism,Social Responsiveness Scale,Manual,,2,,,Online Platform,WPS Login,0
SRS-2,C,Autism,Social Responsiveness Scale,Form,School-Age Form,2,4 to 18,,Online Platform,WPS Login,0
SRS-2,C,Autism,Social Responsiveness Scale,Form,Adult Relative/Other Report Form,2,19 & up,,Online Platform,WPS Login,0
SRS-2,C,Autism,Social Responsiveness Scale,Form,Adult Self-Report Form,2,19 & up,,Online Platform,WPS Login,0
TEA-Ch2,B,Attention/ADHD,Test of Everyday Attention for Children,Kit,"Kit Contents:
-Administration, Scoring and Technical Manual
-J and A Scoring Acetates
-USB stick with program application
-star stickers, stopwatch, red pen",2,,1,Second Floor,Pearson,0
TEA-Ch2,B,Attention/ADHD,Test of Everyday Attention for Children,Form,Junior Record Form,2,5 to 7,25,Second Floor,Pearson,0
TEA-Ch2,B,Attention/ADHD,Test of Everyday Attention for Children,Form,Adolescent Record Form ,2,8 to 15,25,Second Floor,Pearson,0
TOMM,C,,Test of Memory Malingering,Manual,,,,1,Second Floor,Pearson,0
TOMM,C,,Test of Memory Malingering,Book,Trial 1,,,1,Second Floor,Pearson,0
TOMM,C,,Test of Memory Malingering,Book,Trial 2,,,1,Second Floor,Pearson,0
TOMM,C,,Test of Memory Malingering,Book,Retention Trial,,,1,Second Floor,Pearson,0
TOMM,C,,Test of Memory Malingering,Form,Score Sheet,,,Over 50,Second Floor,Pearson,0
TOWRE,B,,Test of Word Reading Efficiency,Manual,Examiner's Manual,,,1,Second Floor,WPS - 2nd ed available,0
TOWRE,B,,Test of Word Reading Efficiency,Form,"Profile/Examiner Record Booklet
Form A",,,11,Second Floor,WPS - 2nd ed available,0
TOWRE,B,,Test of Word Reading Efficiency,Form,"Profile/Examiner Record Booklet
Form B",,,21,Second Floor,WPS - 2nd ed available,0
TOWRE,B,,Test of Word Reading Efficiency,,Folder with testing sheets/materials,,,1,Second Floor,WPS - 2nd ed available,0
TSCC,B,Trauma,Trauma Symptom Checklist for Children,Manual,Professional Manual,,,1,Second Floor,PAR,0
TSCC,B,Trauma,Trauma Symptom Checklist for Children,Form,Profile Form: Females,,8 to 12,Around 20,Second Floor,PAR,0
TSCC,B,Trauma,Trauma Symptom Checklist for Children,Form,Profile Form: Males,,8 to 12,Around 20,Second Floor,PAR,0
TSCC,B,Trauma,Trauma Symptom Checklist for Children,Form,Booklet,,,Around 20,Second Floor,PAR,0
TSI-2,B,Trauma,Trauma Symptom Inventory,Manual,Professional Manual,2,,1,Second Floor,PAR,0
TSI-2,B,Trauma,Trauma Symptom Inventory,Form,Profile Form,2,,Around 30,Second Floor,PAR,0
TSI-2,B,Trauma,Trauma Symptom Inventory,Form,Item Booklet,2,,8,Second Floor,PAR,0
TSI-2,B,Trauma,Trauma Symptom Inventory,Form,Answer Sheet,2,,Around 25,Second Floor,PAR,0
TSI-2,B,Trauma,Trauma Symptom Inventory,Scoring,TSI-2/TSI-2 Alternate Form Score Report,2,,5,Online Platform,PAR Login,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Manual,,3,,1,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,Domain-Level Interview Form,3,,Around 25,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,Domain-Level Parent/Caregiver Form,3,,Around 20,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,Domain-Level Teacher Form,3,,25,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,Comprehensive Interview Form,3,,15,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,"Comprehensive Interview Form 
Without Item-Level Probes",3,,25,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,Comprehensive Parent/Caregiver Form,3,,23,Second Floor,Pearson,0
Vineland-3,B,Adaptive Functioning,Vineland Adaptive Behavior Scales,Form,Comprehensive Teacher Form,3,,25,Second Floor,Pearson,0
WAIS-IV,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,CD,"Scoring Assistant
Windows Version 1.0.0",4,,6,Second Floor,Pearson,0
WAIS-IV,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,Kit,,4,,"7
(Labelled as Kit A, Kit B, Kit C, Kit D, Kit E, Kit F, and Kit G)",Second Floor,Pearson,0
WAIS-IV,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,Form,Record Form,4,,Over 100,Second Floor,Pearson,0
WAIS-IV,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,Form,"Response Booklet 1
Symbol Search
Coding",4,,Over 100,Second Floor,Pearson,0
WAIS-IV,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,Form,"Response Booklet 2
Cancellation",4,,Over 50,Second Floor,Pearson,0
WAIS-IV,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,Scoring,,4,,,Computer-184 Side,PsychCorp II,0
WAIS,C,Intellectual Functioning,Wechsler Adult Intelligence Scale,Scoring,,,,,Online Platform,Pearson Login,0
WASI-II,C,Intellectual Functioning,Wechsler Abbreviated Scale of Intelligence,Kit,,2,,1,Second Floor,Pearson,0
WASI-II,C,Intellectual Functioning,Wechsler Abbreviated Scale of Intelligence,Form,Record Form,2,,Over 50,Second Floor,Pearson,0
WCST,C,,Wisconsin Card Sorting Test,Kit,"Kit Contents:
Materials for practice in administration and scoring",,,1,Second Floor,PAR,0
WCST,C,,Wisconsin Card Sorting Test,Manual,Revised and Expanded,,,1,Second Floor,PAR,0
WCST,C,,Wisconsin Card Sorting Test,Form,Record Booklet,,,Over 50,Second Floor,PAR,0
WIAT-III,B,,Wechsler Individual Achievement Test,Kit,,3,,"2
(1 is labelled as Clinic Kit A and 1 is not labelled but in a file folder case)",Second Floor,Pearson,0
WIAT-III,B,,Wechsler Individual Achievement Test,CD,Audio CD,3,,4,Second Floor,Pearson,0
WIAT-III,B,,Wechsler Individual Achievement Test,CD,"Scoring Assistant
Windows Version 1.0",3,,2,Second Floor,Pearson - version 1.0.2 available,0
WIAT-III,B,,Wechsler Individual Achievement Test,CD,"Scoring Assistant
Windows Version 1.0.2",3,,2,Second Floor,Pearson,0
WIAT-III,B,,Wechsler Individual Achievement Test,CD,Technical Manual with Supplementary Materials      ,3,,4,Second Floor,Pearson,0
WIAT-III,B,,Wechsler Individual Achievement Test,Form,Record Form,3,,Over 100,Second Floor,Pearson,0
WIAT-III,B,,Wechsler Individual Achievement Test,Form,Response Booklet,3,,Over 100,Second Floor,Pearson,0
WIAT,B,,Wechsler Individual Achievement Test,Scoring,,,,,Online Platform,Pearson Login,0
WISC-V,C,Intellectual Functioning,Wechsler Intelligence Scale for Children,Kit,,5,,"6
(Labelled as Kit A, C, Kit D, PCQ Kit F, PCQ Kit G, and 1 has no label and is in a blue bag)",Second Floor,Pearson,0
WISC-V,C,Intellectual Functioning,Wechsler Intelligence Scale for Children,Form,Record Form,5,,Over 100,Second Floor,Pearson,0
